Year,Month,Sales,Radio_spendings
2015,01,6232380,8530.1186686408
2015,02,8704650,16165.598960152998
2015,03,6909730,12205.8552989392
2015,04,7033085,8783.132546312401
2015,05,6623780,11210.3080421888
2015,06,4730300,10820.6751405496
2015,07,5424245,12150.7905150708
2015,08,7329415,11461.9990348352
2015,09,6410935,4714.874578184
2015,10,6242815,8453.99513119
2015,11,7486785,7678.2457521836
2015,12,5591185,6035.479379662
2016,01,5435475,7972.2012204588
2016,02,9474095,8965.077515372
2016,03,4220215,3715.743483075
2016,04,4865825,7162.7169560668
2016,05,8157140,10241.9994038418
2016,06,5072100,4865.0578630683995
2016,07,5723335,4586.0473818126
2016,08,6535120,4948.0787288212005
2016,09,6661415,13553.708446382
2016,10,6984375,6088.331287275
2016,11,5312580,4048.9310932584
2016,12,6056715,3222.4940374296
2017,01,7563950,5999.666358135
2017,02,7538560,8696.4025093952
2017,03,3403540,7395.9176136492
2017,04,7119545,11931.295940126398
2017,05,8912635,23629.255143510403
2017,06,6308545,10259.028898008599
2017,07,8624745,11058.084107303
2017,08,7984635,6591.3927394492
2017,09,7589750,10218.777263279602
2017,10,10169115,13756.7437098608
2017,11,4997365,7298.0417958564
2017,12,6089655,4782.8097180872
2018,01,6392535,7560.0032491254
2018,02,3658140,5719.8274334220005
2018,03,6369915,4984.001082999799
2018,04,5389215,4221.0288140761995
2018,05,6481960,9837.146799195001
2018,06,4805540,4031.747934332
2018,07,8491095,9387.9767436442
2018,08,7926155,9086.4162816588
2018,09,6864420,10296.7118449452
2018,10,7671290,6724.743125901001
2018,11,5520605,8298.048140589
2018,12,6533265,10276.337839394999
2019,01,5732375,7459.913568191001
2019,02,7011390,11510.159604479999
2019,03,6738505,5928.811921960801
2019,04,10235345,11966.9449931952
2019,05,3803685,4866.174355211399
2019,06,6595235,6014.526335656799
2019,07,5702085,9171.1824627188
2019,08,3877740,5850.811615401
2019,09,7232155,9161.575329973599
2019,10,5265960,7595.801571577601
2019,11,6708810,7837.062381739201
2019,12,9272565,6881.8248325548
